,Unnamed: 0,Score
0,Song Kang-ho,99.0
1,Claude Rains,99.0
2,Lee J. Cobb,99.0
3,Eva Marie Saint,99.0
4,Anne Baxter,99.0
5,Bette Davis,99.0
6,Lee Sun-kyun,99.0
7,Paul Henreid,99.0
8,Ingrid Bergman,99.0
9,Choi Woo-sik,99.0
10,Jo Yeo-jeong,99.0
11,Humphrey Bogart,99.0
12,George Sanders,98.5
13,Bodil Rosing,98.0
14,Margaret Livingston,98.0
15,Walter Connolly,98.0
16,Janet Gaynor,98.0
17,George O'Brien,98.0
18,John Wray,98.0
19,Louis Wolheim,98.0
20,Lew Ayres,98.0
21,Judith Anderson,98.0
22,Joan Fontaine,98.0
23,Roscoe Karns,98.0
24,Raymond Griffith,98.0
